m iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880591,# Direct Submission,,
AMT77018.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC655 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880592,# Direct Submission,,
ARA10350.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FVP7X,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FVP7X nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715107,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10351.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FOVH5,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FOVH5 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715108,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10352.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FPYA4,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FPYA4 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715109,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10353.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F67WS,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F67WS nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715110,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10354.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FL2W7,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FL2W7 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715111,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10355.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F17NX,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F17NX nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715112,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10356.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FVFAA,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FVFAA nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715113,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10357.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F79NT,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F79NT nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715114,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10358.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FQOWZ,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FQOWZ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715115,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10359.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F5DZZ,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F5DZZ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715116,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10360.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FWACG,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FWACG nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715117,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10361.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F7IJ4,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F7IJ4 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715118,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10362.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FRYVR,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FRYVR nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715119,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10363.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FXD65,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FXD65 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715120,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10364.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FXTLF,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FXTLF nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715121,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10365.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F4FIN,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F4FIN nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715122,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10366.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FWOOR,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FWOOR nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715123,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10367.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FR78Z,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FR78Z nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715124,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10368.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F5OXG,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F5OXG nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715125,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10369.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F4TAX,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F4TAX nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715126,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10370.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GDC6T,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GDC6T nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715127,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10371.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FX8UA,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FX8UA nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715128,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10372.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F0521,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F0521 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715129,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10373.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GBV8U,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GBV8U nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715130,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10374.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F94QG,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F94QG nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715131,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10375.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FV0AT,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FV0AT nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715132,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10376.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GFRER,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GFRER nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715133,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10377.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FS0N8,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FS0N8 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715134,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10378.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GBO1I,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GBO1I nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715135,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10379.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FQFGB,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FQFGB nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715136,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10380.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F03J4,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F03J4 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715137,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
ARA10381.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F4CMP,,,"Brazil: Forest Atlantic, Parana, Serra do Mar",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F4CMP nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",25.53 S 48.57 W,genomic DNA,NifH,KX715138,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Serra do Mar, Parana State, Brazil # Direct Submission",,
