	GenomeID	GTDB_Tax	NCBI_Tax	nifH	EV_nifH	bitscore_nifH	nifD	EV_nifD	bitscore_nifD	nifK	EV_nifK	bitscore_nifK	vnfH	EV_vnfH	bitscore_vnfH	vnfD	EV_vnfD	bitscore_vnfD	vnfK	EV_vnfK	bitscore_vnfK	anfH	EV_anfH	bitscore_anfH	anfD	EV_anfD	bitscore_anfD	anfK	EV_anfK	bitscore_anfK	nflD	EV_nflD	bitscore_nflD	nflH	EV_nflH	bitscore_nflH	ChlN	EV_ChlN	bitscore_ChlN	ChIl	EV_ChIl	bitscore_ChIl	ChlB	EV_ChlB	bitscore_ChlB
790	GB_GCA_015228815.1	d__Bacteria;p__Proteobacteria;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228815	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Magnetococcales;x__unclassified Magnetococcales;s__Magnetococcales bacterium	JADGCV010000006.1_21	1.7e-97	323.8	JADGCV010000028.1_19	8.1e-224	741.6	JADGCV010000028.1_20	3e-193	640.2																																	
791	GB_GCA_903893625.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Planktothrix;s__Planktothrix sp903893625	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__Oscillatoriophycideae;o__Oscillatoriales;x__environmental samples;s__uncultured Oscillatoriales cyanobacterium	CAITND010000228.1_15	2.1e-32	110.7	CAITND010000175.1_17	2.3e-219	727.4	CAITND010000175.1_16	3.9e-204	676.6																									CAITND010000151.1_46	7.499999999999999e-181	599.8	CAITND010000151.1_48	1.2000000000000002e-130	433.2	CAITND010000206.1_27	1.3e-219	728.5
792	RS_GCF_001263415.1	d__Bacteria;p__Firmicutes_B;c__Thermincolia;o__Thermincolales;f__Thermincolaceae;g__Thermincola;s__Thermincola ferriacetica	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Thermincola;s__Thermincola ferriacetica	NZ_LGTE01000029.1_29	1.5e-99	330.4	NZ_LGTE01000008.1_60	1.4e-216	717.5	NZ_LGTE01000008.1_61	1.2000000000000001e-203	674.3																																	
793	RS_GCF_013283645.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium psoraleae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Sinorhizobium/Ensifer group;g__Ensifer;s__Ensifer psoraleae	NZ_JABEKV010000001.1_81	8.5e-98	325.8	NZ_JABEKV010000012.1_62	9.3e-227	752.2	NZ_JABEKV010000012.1_42	2.1e-202	671.3																																	
794	GB_GCA_000961655.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__Desulfatitalea sp000961655	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatitalea;x__unclassified Desulfatitalea;s__Desulfatitalea sp. BRH_c12	LADR01000017.1_4	4.1e-91	303.4	LADR01000085.1_8	9.2e-217	718.8	LADR01000085.1_7	7.9e-191	632.7																																	
795	RS_GCF_015714725.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp015714725	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;x__unclassified Nostoc;s__Nostoc sp. WHI	NZ_WBKM01000307.1_9	2.1e-67	226.1	NZ_WBKM01000281.1_74	1.4000000000000001e-201	669.4	NZ_WBKM01000281.1_27	3e-200	664.4																									NZ_WBKM01000276.1_14	3.5e-183	608.1	NZ_WBKM01000276.1_16	5.6e-130	431.6	NZ_WBKM01000390.1_26	1.6e-223	741.9
796	GB_GCA_013154175.1	d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__QOAL01;g__JAADCZ01;s__JAADCZ01 sp013154175	d__Bacteria;p__Thermodesulfobacteria;x__unclassified Thermodesulfobacteria;s__Thermodesulfobacteria bacterium	JAADCZ010000007.1_3	5.4e-93	308.3	JAADCZ010000172.1_3	3.9999999999999986e-152	504.4	JAADCZ010000172.1_2	3.9e-199	658.9																																	
797	RS_GCF_900538275.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Vallitaleaceae;g__Petrocella;s__Petrocella atlantisensis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Petrocella;s__Petrocella atlantisensis	NZ_LR130778.1_1758	2.1e-93	310.3	NZ_LR130778.1_2258	1.1e-207	688.2	NZ_LR130778.1_2259	2.0000000000000005e-187	620.8																																	
798	GB_GCA_004297765.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__FW602-bin16;f__FW602-bin16;g__FW602-bin16;s__FW602-bin16 sp004297765	d__Bacteria;x__Terrabacteria group;p__Chloroflexi;x__unclassified Chloroflexi;s__Chloroflexi bacterium	SCTZ01000191.1_6	5.9e-92	306.1	SCTZ01000199.1_13	1.8e-212	704.6	SCTZ01000199.1_14	7.7e-203	672.3																																	
799	RS_GCF_000963695.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum oryzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylocucumis;s__Methylocucumis oryzae	NZ_LAJX01000270.1_9	3.4e-95	316.9	NZ_LAJX01000044.1_11	1.4e-147	490.7	NZ_LAJX01000044.1_10	3.2000000000000004e-158	525.4																																	
800	RS_GCF_012516435.1	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio sp012516435	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;x__unclassified Pseudodesulfovibrio;s__Pseudodesulfovibrio sp. zrk46	NZ_CP051216.1_1213	7e-92	305.4	NZ_CP051216.1_2064	1.5e-214	711.0	NZ_CP051216.1_2065	3e-202	669.9																																	
801	RS_GCF_006265245.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris vibrioformis	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris vibrioformis	NZ_VDCI01000001.1_338	5.1e-91	301.8	NZ_VDCI01000001.1_512	6.999999999999999e-218	721.3	NZ_VDCI01000001.1_513	4.3e-198	655.5																									NZ_VDCI01000001.1_230	1.5e-159	528.4	NZ_VDCI01000001.1_232	1.3e-118	392.4	NZ_VDCI01000001.1_231	2.4000000000000007e-195	647.1
802	GB_GCA_001704765.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium shofinae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Sinorhizobium/Ensifer group;g__Ensifer;s__Ensifer shofinae	MBFK01000009.1_79	2.7e-96	320.6	MBFK01000144.1_2	1.7e-225	747.8	MBFK01000144.1_3	1.3999999999999998e-192	638.8																																	
803	GB_GCA_013334225.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp013334225	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JAAXXY010000009.1_8	5.2e-91	302.3	JAAXXY010000015.1_18	2.2e-222	736.6	JAAXXY010000015.1_17	1.6000000000000002e-201	667.2										JAAXXY010000035.1_13	2.9e-169	558.8	JAAXXY010000035.1_16	0.0	1122.6	JAAXXY010000035.1_18	4.4e-289	956.2							JAAXXY010000014.1_48	5.200000000000001e-161	533.6	JAAXXY010000014.1_50	9e-118	390.1	JAAXXY010000014.1_49	9.199999999999999e-192	635.7
804	RS_GCF_900111015.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas;s__Solimonas aquatica	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Sinobacteraceae;g__Solimonas;s__Solimonas aquatica	NZ_FOFS01000011.1_66	2.1e-91	303.9	NZ_FOFS01000010.1_92	7.3e-231	764.9	NZ_FOFS01000010.1_91	8e-195	645.5																																	
805	GB_GCA_007280895.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp007280895	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;x__unclassified Methylococcaceae;s__Methylococcaceae bacterium	QYQN01000002.1_36	4.2e-93	309.0	QYQN01000104.1_2	1.8e-233	773.0	QYQN01000104.1_1	1.6e-202	670.3																																	
806	GB_GCA_003326215.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dendronalium;s__Dendronalium minutum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc minutum;x__Nostoc minutum NIES-26	LXQD01000356.1_5	7.700000000000002e-60	201.4	LXQD01000295.1_238	3.3e-201	668.2	LXQD01000295.1_225	1e-200	666.1																									LXQD01000295.1_105	6.7e-185	613.9	LXQD01000295.1_107	1.7000000000000002e-130	433.4	LXQD01000079.1_2	9.9e-223	739.4
807	GB_GCA_003584865.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp003584865	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;x__unclassified Methylococcales;s__Methylococcales bacterium	QVQE01000139.1_10	5.3999999999999995e-62	206.8	QVQE01000170.1_11	1.9e-232	769.5	QVQE01000170.1_10	3.9e-202	669.0																																	
808	GB_GCA_005862285.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005862285	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;x__unclassified Chlorobium;s__Chlorobium sp.	SZXW01000003.1_93	3.3e-92	305.9	SZXW01000010.1_274	5.2e-223	738.4	SZXW01000010.1_275	9.3e-203	671.0																									SZXW01000002.1_140	8.299999999999998e-159	526.1	SZXW01000002.1_142	3.400000000000001e-118	391.3	SZXW01000002.1_141	4.9e-192	636.3
809	GB_GCA_005862225.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp005862225	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;x__unclassified Chlorobium;s__Chlorobium sp.	SZXV01000002.1_550	1.1e-90	300.9	SZXV01000003.1_211	9.9e-218	720.9	SZXV01000003.1_210	1e-200	664.3																									SZXV01000002.1_417	6.1e-163	539.6	SZXV01000002.1_419	1.3e-118	392.6	SZXV01000002.1_418	5.700000000000001e-193	639.4
810	RS_GCF_004339665.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter chroococcum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;x__Azotobacter group;g__Azotobacter;s__Azotobacter chroococcum	NZ_SMMU01000067.1_11	5.8e-95	315.8	NZ_SMMU01000020.1_45	1.7e-228	757.3	NZ_SMMU01000020.1_44	1.5e-205	681.1	NZ_SMMU01000020.1_46	9.7e-176	581.0	NZ_SMMU01000027.1_43	0.0	1044.5	NZ_SMMU01000027.1_41	9.1e-275	909.4																								
811	RS_GCF_004919685.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium norvegicum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium norvegicum	NZ_SMYZ01000039.1_144	1.3e-101	338.4	NZ_SMYZ01000081.1_104	1.1e-225	748.9	NZ_SMYZ01000081.1_105	9.8e-203	672.6																																	
812	RS_GCF_000195895.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri_B	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri;x__Methanosarcina barkeri str. Wiesmoor	NC_007349.1_10	1.3e-70	235.7	NC_007355.1_176	3.7e-215	713.2	NC_007355.1_175	4.4e-185	613.4										NC_007355.1_2424	2.1e-166	549.9	NC_007355.1_1651	0.0	1073.9	NC_007355.1_1649	1.4e-288	954.9	NC_007355.1_368	4.6999999999999986e-173	572.9	NC_007355.1_2878	6.6e-237	786.0									
813	RS_GCF_002218065.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Aphanizomenonaceae;g__Nodularia;x__unclassified Nodularia;s__Nodularia sp. NIES-3585	NZ_BDUB01000001.1_434	3.3e-51	172.3	NZ_BDUB01000001.1_3679	7.7e-202	669.5	NZ_BDUB01000001.1_3671	2.5000000000000002e-199	660.7																									NZ_BDUB01000001.1_998	2.9e-184	611.0	NZ_BDUB01000001.1_996	1.1000000000000001e-130	433.2	NZ_BDUB01000001.1_606	2.2999999999999998e-222	737.5
814	RS_GCF_004361815.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia sp004361815	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;x__unclassified Paraburkholderia;s__Paraburkholderia sp. BL10I2N1	NZ_SNWA01000001.1_1317	1.5e-88	295.7	NZ_SNWA01000003.1_173	1.4999999999999998e-221	735.4	NZ_SNWA01000003.1_174	2.4e-196	651.7																																	
815	GB_GCA_002753185.1	d__Bacteria;p__Proteobacteria;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__WMHbin3;s__WMHbin3 sp002753185	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Magnetococcales;x__unclassified Magnetococcales;s__Magnetococcales bacterium WMHbin3	PDZX01000003.1_16	2.1e-82	274.5	PDZX01000045.1_11	4.700000000000002e-218	722.7	PDZX01000045.1_10	3.3e-194	643.6																																	
816	RS_GCF_000379565.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus sp000379565	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;x__unclassified Cupriavidus;s__Cupriavidus sp. UYPR2.512	NZ_KB903142.1_36	1.2e-91	305.7	NZ_KB902882.1_3	2e-223	741.3	NZ_KB902882.1_4	1e-195	649.4																																	
817	GB_GCA_001604185.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-16;s__Firm-16 sp001604185	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium Firm_16	LVAV01000013.1_124	4.6e-96	318.9	LVAV01000054.1_61	9.2e-136	450.8	LVAV01000054.1_62	8.899999999999999e-135	447.2																																	
818	GB_GCA_003162335.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__Fen-1064;s__Fen-1064 sp003162335	d__Bacteria;x__Terrabacteria group;p__Chloroflexi;c__Dehalococcoidia;x__unclassified Dehalococcoidia;s__Dehalococcoidia bacterium	PMMG01000129.1_7	5.8e-19	65.6	PMMG01000125.1_2	2.2e-140	466.0	PMMG01000125.1_3	4.4e-122	405.3																																	
819	RS_GCF_004369205.1	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__Pelotomaculum_C;s__Pelotomaculum_C schinkii	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Pelotomaculum;x__unclassified Pelotomaculum;s__Pelotomaculum sp. FP	NZ_QFGA01000004.1_18	1.9e-98	327.2	NZ_QFGA01000001.1_1034	1.6e-215	714.4	NZ_QFGA01000001.1_1033	2.2e-185	614.5																																	
820	GB_GCA_003517965.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__UBA2262 sp003517965	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium RIFOXYD12_FULL_53_23	DOZO01000026.1_60	1.4999999999999999e-92	307.0	DOZO01000053.1_9	1.8e-213	706.8	DOZO01000010.1_7	1.6e-136	452.6																																	
821	GB_GCA_001650175.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Ereboglobus;s__Ereboglobus sp001650175	d__Bacteria;x__PVC group;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TSB47	KV441839.1_881	4.3e-81	270.5	KV441839.1_730	9.5e-209	692.4	KV441839.1_731	3.4e-192	637.3										KV441839.1_711	9.7e-176	580.9	KV441839.1_712	0.0	1134.4	KV441839.1_714	5e-280	927.2															
822	RS_GCF_001641335.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium stylosanthis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. KB893862 SZCCT0404	NZ_LVEM01000002.1_257	1.7e-100	334.9	NZ_LVEM01000003.1_1172	2.3e-229	761.0	NZ_LVEM01000003.1_1171	2.9e-204	677.7																																	
823	GB_GCA_003508755.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__UBA10428 sp003508755	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;x__unclassified Bacteroidales;s__Bacteroidales bacterium	DNTK01000603.1_5	1.6e-66	222.0	DNTK01000530.1_5	2.8e-123	409.8	DNTK01000530.1_4	2.2e-135	449.4																																	
824	GB_GCA_016234115.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__SURF-23;s__SURF-23 sp016234115	d__Bacteria;p__Nitrospirae;x__unclassified Nitrospirae;s__Nitrospirae bacterium	JACRHD010000049.1_18	7.3e-95	315.0	JACRHD010000067.1_125	7.4e-215	711.9	JACRHD010000067.1_126	3.9e-195	646.3																																	
825	RS_GCF_000513895.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium sp000513895	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Sinorhizobium/Ensifer group;g__Ensifer;x__unclassified Ensifer;s__Ensifer sp. WSM1721	NZ_AZUW01000008.1_76	3.4e-97	323.5	NZ_AZUW01000052.1_19	8.600000000000001e-225	745.5	NZ_AZUW01000052.1_18	1.6000000000000002e-201	668.2																																	
826	RS_GCF_000021805.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Rippkaea;s__Rippkaea orientalis	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Rippkaea;s__Rippkaea orientalis;x__Rippkaea orientalis PCC 8801	NC_011721.1_25	4.1e-46	155.4	NC_011726.1_1779	1.2e-224	744.6	NC_011726.1_1780	4.1e-200	663.2																									NC_011726.1_792	5.2e-182	603.4	NC_011726.1_794	1.9e-131	435.6	NC_011726.1_2877	6.8e-222	735.7
827	GB_GCA_011390755.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__JAABRU01;s__JAABRU01 sp011390755	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;x__unclassified Desulfobacteraceae;s__Desulfobacteraceae bacterium	JAABRU010000027.1_37	4.6e-91	303.3	JAABRU010000096.1_17	2.4e-219	727.4	JAABRU010000096.1_18	4.5e-196	650.1																																	
828	GB_GCA_903903365.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp903903365	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;x__environmental samples;s__uncultured Methylococcaceae bacterium	CAIUYS010000270.1_7	5.7e-94	312.4	CAIUYS010000349.1_11	1.1e-163	543.3	CAIUYS010000349.1_10	9.1e-203	671.8																																	
829	GB_GCA_007135625.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__SLIM01;s__SLIM01 sp007135625	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;x__unclassified Gammaproteobacteria;s__Gammaproteobacteria bacterium	SLIM01000102.1_2	2.7e-94	312.9	SLIM01000147.1_8	4.3e-233	771.7	SLIM01000147.1_7	6.200000000000001e-201	665.1																																	
830	RS_GCF_000482245.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Leptothoe;s__Leptothoe sp000482245	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;x__unclassified Leptolyngbya;s__Leptolyngbya sp. Heron Island J	NZ_AWNH01000032.1_45	2.5e-62	209.3	NZ_AWNH01000073.1_2	1.4e-215	715.3	NZ_AWNH01000073.1_1	3.8e-192	637.6																									NZ_AWNH01000036.1_44	5.2999999999999985e-177	587.6	NZ_AWNH01000036.1_46	3.2e-129	429.0	NZ_AWNH01000075.1_70	1.3e-219	728.9
831	GB_GCA_017508825.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A136;s__NK4A136 sp017508825	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium	JAFWRC010000129.1_14	1e-94	314.7	JAFWRC010000194.1_13	5.6e-130	431.9	JAFWRC010000194.1_12	3.1e-115	383.0																																	
832	GB_GCA_903994525.1	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903994525	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAJEXW010000011.1_6	4e-91	302.4	CAJEXW010000021.1_12	8.1e-220	727.8	CAJEXW010000021.1_13	2.4000000000000007e-195	646.6																									CAJEXW010000001.1_147	4.1000000000000005e-161	533.7	CAJEXW010000001.1_145	1.2e-118	392.7	CAJEXW010000001.1_146	4.7000000000000005e-193	639.7
833	GB_GCA_004017275.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp004017275	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp.	SAKE01000035.1_40	9.7e-102	338.6	SAKE01000029.1_11	9.8e-225	745.4	SAKE01000029.1_10	6.500000000000001e-201	666.3																																	
834	GB_GCA_011620245.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax sp011620245	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;x__unclassified Acidovorax;s__Acidovorax sp.	WOZN01000110.1_1	3.0999999999999997e-90	299.4	WOZN01000033.1_9	3.3e-147	488.3	WOZN01000033.1_2	2.2e-195	646.7																																	
835	GB_GCA_000702245.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp000702245	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__environmental samples;s__uncultured Lachnospiraceae bacterium	JNKY01000015.1_126	7.7e-94	311.2	JNKY01000010.1_124	6.800000000000001e-122	404.7	JNKY01000010.1_125	1e-106	354.4																																	
836	GB_GCA_003157575.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp003157575	d__Bacteria;x__PVC group;p__Verrucomicrobia;c__Opitutae;x__unclassified Opitutae;s__Opitutae bacterium	PMKA01000320.1_5	1.4e-85	284.8	PMKA01000161.1_2	9.7e-143	474.2	PMKA01000161.1_3	3.5e-128	425.8																																	
