	GenomeID	NCBI_TaxID	GTDB_Tax	NCBI_Tax	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
1038	GB_GCA_011332035.1	1167	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp011332035	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Anabaena;x__unclassified Anabaena;s__Anabaena sp.	DSPW01000098.1_2	DSPW01000093.1_2	DSPW01000093.1_1									DSPW01000065.1_93	DSPW01000065.1_95	DSPW01000131.1_44
1039	GB_GCA_903898185.1	100234	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__CAIUEN01;s__CAIUEN01 sp903898185	d__Bacteria;x__PVC group;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;x__environmental samples;s__uncultured Verrucomicrobiales bacterium	CAIUEN010000345.1_9	CAIUEN010000270.1_3	CAIUEN010000270.1_2											
1040	RS_GCF_000519305.1	1040981	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium ciceri_B	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium ciceri;x__Mesorhizobium ciceri WSM4083	NZ_JAFG01000006.1_594	NZ_JAFG01000040.1_4	NZ_JAFG01000040.1_3											
1041	RS_GCF_015207755.1	2777965	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp015207755	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Aphanizomenonaceae;g__Nodularia;x__unclassified Nodularia;s__Nodularia sp. LEGE 06071	NZ_JADEWH010000026.1_3	NZ_JADEWH010000002.1_525	NZ_JADEWH010000006.1_235									NZ_JADEWH010000010.1_48	NZ_JADEWH010000010.1_50	NZ_JADEWH010000007.1_57
1042	RS_GCF_000016085.1	1094	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;s__Chlorobium phaeovibrioides	NC_009337.1_392	NC_009337.1_1366	NC_009337.1_1367									NC_009337.1_285	NC_009337.1_287	NC_009337.1_286
1043	GB_GCA_000733415.1	2747798	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Elainellales;f__Elainellaceae;g__Elainella;s__Elainella sp000733415	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Synechococcales;f__Oculatellaceae;g__Elainella;x__unclassified Elainella;s__Elainella sp. C42_A2020_010	KL662192.1_874	KL662192.1_74	KL662192.1_75									KL662191.1_709	KL662191.1_707	KL662191.1_292
1044	GB_GCA_018902545.1	1977087	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp018902545	d__Bacteria;p__Proteobacteria;x__unclassified Proteobacteria;s__Proteobacteria bacterium	JAHIQM010000015.1_68	JAHIQM010000004.1_182	JAHIQM010000004.1_181											
1045	GB_GCA_017420535.1	142586	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp017420535	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;x__unclassified Eubacterium;s__Eubacterium sp.	JAFOIV010000128.1_42	JAFOIV010000026.1_34	JAFOIV010000026.1_35											
1046	RS_GCF_000422545.1	1262666	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfocurvibacter;s__Desulfocurvibacter africanus	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfocurvibacter;s__Desulfocurvibacter africanus;x__Desulfocurvibacter africanus PCS	NZ_AULZ01000028.1_6	NZ_AULZ01000001.1_402	NZ_AULZ01000001.1_403											
1047	RS_GCF_014698035.1	76335	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc muscorum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;x__unclassified Nostoc;s__Nostoc sp. ATCC 53789	NZ_JACJSF010000163.1_2	NZ_JACJSF010000002.1_64	NZ_JACJSF010000002.1_37									NZ_JACJSF010000003.1_214	NZ_JACJSF010000003.1_216	NZ_JACJSF010000159.1_9
1048	RS_GCF_014698795.1	2692843	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp014698795	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;x__unclassified Nostoc;s__Nostoc sp. FACHB-892	NZ_JACJTR010000047.1_11	NZ_JACJTR010000068.1_4	NZ_JACJTR010000004.1_336									NZ_JACJTR010000002.1_96	NZ_JACJTR010000002.1_98	NZ_JACJTR010000016.1_111
1049	RS_GCF_001184205.1	1348163	d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis	NZ_LBMP01000001.1_1049	NZ_LBMP01000004.1_393	NZ_LBMP01000004.1_392											
1050	RS_GCF_013177315.1	2811482	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Elainellales;f__Elainellaceae;g__O-77;s__O-77 sp013177315	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Synechococcales;f__Oculatellaceae;g__Thermoleptolyngbya;x__unclassified Thermoleptolyngbya;s__Thermoleptolyngbya sp. PKUAC-SCTB121	NZ_CP053661.1_1598	NZ_CP053661.1_2364	NZ_CP053661.1_2365									NZ_CP053661.1_511	NZ_CP053661.1_509	NZ_CP053661.1_116
1051	GB_GCA_016903675.1	221294	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Stigonema;s__Stigonema ocellatum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Stigonemataceae;g__Stigonema;s__Stigonema ocellatum;x__Stigonema ocellatum SAG 48.90 = DSM 106950	JADQBA010000029.1_46	JADQBA010000033.1_52	JADQBA010000033.1_51	JADQBA010000100.1_26	JADQBA010000033.1_53	JADQBA010000100.1_27						JADQBA010000022.1_48	JADQBA010000022.1_50	JADQBA010000005.1_24
1052	GB_GCA_016342325.1	2067988	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium_B;s__Desulfobacterium_B sp016342325	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium;x__unclassified Desulfobacterium;s__Desulfobacterium sp.	JAEINR010000003.1_59	JAEINR010000051.1_34	JAEINR010000051.1_35											
1053	RS_GCF_000829235.1	1228987	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Rippkaea;s__Rippkaea sp000829235	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__unclassified Cyanobacteria;s__cyanobacterium endosymbiont of Epithemia turgida;x__cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	NZ_AP012549.1_1204	NZ_AP012549.1_1443	NZ_AP012549.1_1442											
1054	GB_GCA_002429065.1	1948269	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__UBA6053 sp002429065	d__Bacteria;x__PVC group;p__Verrucomicrobia;x__unclassified Verrucomicrobia;s__Verrucomicrobia bacterium UBA6053	DIYN01000021.1_93	DIYN01000019.1_88	DIYN01000019.1_89											
1055	RS_GCF_900102485.1	571438	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio legallii_A	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio legallii	NZ_FNBX01000005.1_91	NZ_FNBX01000016.1_19	NZ_FNBX01000016.1_20				NZ_FNBX01000001.1_166	NZ_FNBX01000001.1_169	NZ_FNBX01000001.1_164					
1056	GB_GCA_017649635.1	2748031	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UBA1181;s__UBA1181 sp017649635	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;x__unclassified Paludibacteraceae;s__Paludibacteraceae bacterium	JAGCGM010000038.1_3	JAGCGM010000291.1_11	JAGCGM010000079.1_5											
1057	GB_GCA_001314905.1	1666905	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A sp001314905	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae;g__Phormidium;x__unclassified Phormidium;s__Phormidium sp. OSCR	LJZT01000087.1_6	LJZT01000032.1_5	LJZT01000032.1_4									LJZT01000044.1_28	LJZT01000044.1_30	LJZT01000066.1_11
1058	GB_GCA_015231815.1	2026769	d__Bacteria;p__Nitrospinota;c__JADGAW01;o__JADGAW01;f__JADGAW01;g__JADGAW01;s__JADGAW01 sp015231815	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JADGAW010000096.1_3	JADGAW010000041.1_13	JADGAW010000041.1_12											
1059	RS_GCF_900107695.1	525918	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix caldifontis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix caldifontis	NZ_FNQP01000001.1_220	NZ_FNQP01000037.1_8	NZ_FNQP01000037.1_10											
1060	GB_GCA_004020645.1	1871066	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp004020645	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp.	SAQL01000003.1_282	SAQL01000028.1_39	SAQL01000028.1_38											
1061	RS_GCF_001298445.1	224013	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc_B;s__Nostoc_B piscinale	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc piscinale;x__Nostoc piscinale CENA21	NZ_CP012036.1_6593	NZ_CP012036.1_2686	NZ_CP012036.1_2685									NZ_CP012036.1_4381	NZ_CP012036.1_4383	NZ_CP012036.1_1116
1062	GB_GCA_012033195.1	2562117	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__JAAUSQ01;s__JAAUSQ01 sp012033195	d__Bacteria;x__Terrabacteria group;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Chloroflexaceae;x__unclassified Chloroflexaceae;s__Chloroflexaceae bacterium	JAAUSQ010000230.1_7	JAAUSQ010000036.1_4	JAAUSQ010000036.1_3									JAAUSQ010000358.1_5	JAAUSQ010000057.1_18	JAAUSQ010000286.1_3
1063	RS_GCF_000745375.1	39770	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter;s__Methylobacter whittenburyi	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;s__Methylobacter whittenburyi	NZ_JQNS01000005.1_264	NZ_JQNS01000007.1_1081	NZ_JQNS01000007.1_1082											
1064	GB_GCA_016209035.1	2030800	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__JACQWX01;s__JACQWX01 sp016209035	d__Bacteria;p__Elusimicrobia;x__unclassified Elusimicrobia;s__Elusimicrobia bacterium	JACQWX010000101.1_19	JACQWX010000018.1_28	JACQWX010000103.1_46											
1065	RS_GCF_015207655.1	588587	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Gloeocapsopsis;s__Gloeocapsopsis crepidinum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__Oscillatoriophycideae;o__Chroococcales;f__Chroococcaceae;g__Gloeocapsopsis;s__Gloeocapsopsis crepidinum;x__Gloeocapsopsis crepidinum LEGE 06123	NZ_JADEWN010000041.1_35	NZ_JADEWN010000041.1_20	NZ_JADEWN010000041.1_19									NZ_JADEWN010000085.1_12	NZ_JADEWN010000085.1_10	NZ_JADEWN010000081.1_8
1066	GB_GCA_003246625.1	1913988	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Alpha-05;s__Alpha-05 sp003246625	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;x__unclassified Alphaproteobacteria;s__Alphaproteobacteria bacterium	QJZR01000006.1_7	QJZR01000004.1_25	QJZR01000004.1_24											
1067	RS_GCF_001904725.1	454136	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae_A;g__Phormidium_B;s__Phormidium_B ambiguum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;x__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae;g__Phormidium;s__Phormidium ambiguum;x__Phormidium ambiguum IAM M-71	NZ_MRCE01000017.1_83	NZ_MRCE01000006.1_228	NZ_MRCE01000006.1_227									NZ_MRCE01000059.1_16	NZ_MRCE01000059.1_14	NZ_MRCE01000003.1_226
1068	RS_GCF_000421965.1	1330534	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-27016;g__Ruminiclostridium;s__Ruminiclostridium papyrosolvens_A	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium papyrosolvens;x__Ruminiclostridium papyrosolvens C7	NZ_ATAY01000032.1_9	NZ_ATAY01000031.1_23	NZ_ATAY01000031.1_22											
1069	GB_GCA_011389165.1	2026735	d__Bacteria;p__Myxococcota;c__UBA9042;o__DTJE01;f__DTJE01;g__DTJE01;s__DTJE01 sp011389165	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium	DTJE01000300.1_6	DTJE01000139.1_7	DTJE01000145.1_6											
1070	GB_GCA_001314865.1	1666911	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;s__Phormidesmis priestleyi_B	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Synechococcales;f__Leptolyngbyaceae;g__Phormidesmis;s__Phormidesmis priestleyi;x__Phormidesmis priestleyi Ana	LJZR01000046.1_11	LJZR01000021.1_67	LJZR01000021.1_68									LJZR01000024.1_63	LJZR01000024.1_65	LJZR01000024.1_64
1071	RS_GCF_000239775.1	566679	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp000239775	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. ORS 375	NZ_CAFI01000455.1_38	NZ_CAFI01000496.1_44	NZ_CAFI01000496.1_43									NZ_CAFI01000453.1_31	NZ_CAFI01000453.1_28	NZ_CAFI01000453.1_30
1072	GB_GCA_004791255.1	2563900	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp004791255	d__Bacteria;x__unclassified Bacteria;s__bacterium M00.F.Ca.ET.152.01.1.1	SRUQ01000001.1_433	SRUQ01000021.1_15	SRUQ01000021.1_14											
1073	GB_GCA_903944925.1	310091	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903944925	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila;x__environmental samples;s__uncultured Rhodopila sp.	CAJATU010000158.1_150	CAJATU010000063.1_24	CAJATU010000063.1_23	CAJATU010000064.1_11	CAJATU010000063.1_25	CAJATU010000064.1_9						CAJATU010000072.1_215	CAJATU010000072.1_212	CAJATU010000072.1_214
1074	RS_GCF_000284415.1	1150469	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Pararhodospirillum;s__Pararhodospirillum photometricum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Pararhodospirillum;s__Pararhodospirillum photometricum;x__Pararhodospirillum photometricum DSM 122	NC_017059.1_1185	NC_017059.1_2845	NC_017059.1_2844				NC_017059.1_564	NC_017059.1_565	NC_017059.1_562			NC_017059.1_66	NC_017059.1_69	NC_017059.1_67
1075	GB_GCA_007694015.1	2448052	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__RECO01;s__RECO01 sp007694015	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae;x__unclassified Geminicoccaceae;s__Geminicoccaceae bacterium	RECO01000116.1_13	RECO01000158.1_8	RECO01000158.1_9									RECO01000153.1_8	RECO01000153.1_11	RECO01000153.1_9
1076	GB_GCA_003252375.1	1912772	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__Halodesulfovibrio sp003252375	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;x__unclassified Halodesulfovibrio;s__Halodesulfovibrio sp.	QKEJ01000196.1_3	QKEJ01000123.1_8	QKEJ01000123.1_7											
1077	RS_GCF_900119155.1	1352374	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D sp900119155	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__unclassified Ruminococcus;s__Ruminococcus sp. YE78	NZ_FPIR01000007.1_145	NZ_FPIR01000022.1_48	NZ_FPIR01000022.1_49											
1078	RS_GCF_014697475.1	2692837	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__FACHB-152;s__FACHB-152 sp014697475	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Nostoc;x__unclassified Nostoc;s__Nostoc sp. FACHB-152	NZ_JACJRV010000050.1_12	NZ_JACJRV010000002.1_49	NZ_JACJRV010000002.1_50									NZ_JACJRV010000030.1_5	NZ_JACJRV010000030.1_7	NZ_JACJRV010000011.1_115
1079	GB_GCA_903920145.1	296830	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__BOG-933;s__BOG-933 sp903920145	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;x__environmental samples;s__uncultured Rhodospirillales bacterium	CAIXKV010000215.1_6	CAIXKV010000105.1_9	CAIXKV010000105.1_8	CAIXKV010000218.1_20	CAIXKV010000218.1_1	CAIXKV010000218.1_18								
1080	RS_GCF_000235605.1	768706	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis;x__Desulfosporosinus orientis DSM 765	NC_016584.1_5421	NC_016584.1_4827	NC_016584.1_4826											
1081	RS_GCF_014696225.1	2692769	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__FACHB-1237;s__FACHB-1237 sp014696225	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Nostocaceae;g__Anabaena;x__unclassified Anabaena;s__Anabaena sp. FACHB-1237	NZ_JACJPV010000011.1_59	NZ_JACJPV010000015.1_73	NZ_JACJPV010000015.1_74									NZ_JACJPV010000016.1_36	NZ_JACJPV010000016.1_38	NZ_JACJPV010000032.1_19
1082	RS_GCF_000429485.1	1120969	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Celerinatantimonadaceae;g__Aliagarivorans;s__Aliagarivorans marinus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aliagarivorans;s__Aliagarivorans marinus;x__Aliagarivorans marinus DSM 23064	NZ_AUBY01000021.1_51	NZ_AUBY01000017.1_12	NZ_AUBY01000017.1_13											
1083	RS_GCF_000420085.1	1265505	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfospira;s__Desulfospira joergensenii	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfospira;s__Desulfospira joergensenii;x__Desulfospira joergensenii DSM 10085	NZ_ATUG01000002.1_1598	NZ_ATUG01000002.1_1625	NZ_ATUG01000002.1_1624											
1084	RS_GCF_000010725.1	137722	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum lipoferum_B	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;x__unclassified Azospirillum;s__Azospirillum sp. B510	NC_013854.1_14	NC_013854.1_811	NC_013854.1_810											
1085	GB_GCA_002372875.1	1950863	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__UBA3680;s__UBA3680 sp002372875	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium UBA3680	DFJD01000032.1_56	DFJD01000024.1_6	DFJD01000024.1_5											
1086	GB_GCA_004028495.1	1859130	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix marina	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Candidatus Electrothrix;s__Candidatus Electrothrix marina	MTKS01000152.1_6	MTKS01000320.1_1	MTKS01000264.1_2											
1087	GB_GCA_009773415.1	2026887	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__JAAYUK01;s__JAAYUK01 sp009773415	d__Bacteria;p__Nitrospirae;x__unclassified Nitrospirae;s__Nitrospirae bacterium	WSNO01000017.1_15	WSNO01000022.1_71	WSNO01000022.1_70											
1088	RS_GCF_015207205.1	1828651	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Sphaerospermopsis;s__Sphaerospermopsis sp015207205	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Nostocales;f__Aphanizomenonaceae;g__Sphaerospermopsis;x__unclassified Sphaerospermopsis;s__Sphaerospermopsis sp. LEGE 08334	NZ_JADEXH010000004.1_51	NZ_JADEXH010000003.1_23	NZ_JADEXH010000003.1_21									NZ_JADEXH010000010.1_39	NZ_JADEXH010000010.1_41	NZ_JADEXH010000009.1_131
1089	RS_GCF_000293785.1	1187851	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodoplanes;s__Rhodoplanes sp000293785	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;x__unclassified Rhodovulum;s__Rhodovulum sp. PH10	NZ_AKZI01000012.1_21	NZ_AKZI01000179.1_2	NZ_AKZI01000179.1_3				NZ_AKZI01000081.1_40	NZ_AKZI01000081.1_39	NZ_AKZI01000081.1_42			NZ_AKZI01000020.1_12	NZ_AKZI01000020.1_9	NZ_AKZI01000020.1_11
1090	RS_GCF_000374545.1	1120992	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Anaeromusales;f__Anaeromusaceae;g__Anaeromusa;s__Anaeromusa acidaminophila	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Anaeromusa;s__Anaeromusa acidaminophila;x__Anaeromusa acidaminophila DSM 3853	NZ_KB894584.1_38	NZ_KB894582.1_21	NZ_KB894582.1_22											
